year,ACCESS-CM2,BCC-CSM2-MR,CanESM5,CNRM-CM6-1,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3_r1i1p1f1,EC-Earth3_r3i1p1f1,EC-Earth3_r4i1p1f1,GFDL-ESM4,HadGEM3-GC31-LL,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR_r1i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR,HadGEM3-GC31-MM,KIOST-ESM,MRI-ESM2-0
1869,0.062204911,0.15544707,-0.03470567,0.147696133,0.162822689,-0.115595096,0.332730763,-0.247327863,-0.444605485,0.054950704,0.204661881,-0.209772559,0.297235352,0.102955541,-0.036848352,-0.311235856,-0.075519637,0.066727178,-0.141726196,-0.084475996
1870,0.126931311,-0.01648993,-0.06750277,0.145995633,0.086851489,-0.263890496,0.473857763,-0.324818963,-0.523397085,0.093145704,0.308419481,-0.283124059,0.134851752,0.079351141,-0.061570652,-0.226878056,0.093566163,-0.005362122,-0.070209196,-0.051441596
1871,0.177898511,0.07559847,-0.04740437,0.129044433,-0.035588911,0.020753504,0.451390563,-0.313047963,-0.415452185,0.091533004,0.323009881,-0.234782959,0.136667952,0.243467541,-0.049270352,0.029305644,0.021758863,0.119488578,0.011310904,0.034236204
1872,0.302341411,0.06380737,-0.11848597,0.082952033,0.005670689,0.062628304,0.400965763,-0.324595563,-0.393062385,0.146173704,0.236528181,-0.332113559,0.099158052,0.399594841,-0.132902352,0.044193644,-0.020509737,0.304314278,-0.186994396,-0.133735496
1873,0.020639811,0.04379517,-0.22754217,0.004422433,0.003151289,0.102098104,0.480338063,-0.361560063,-0.367683085,0.037538504,0.087962481,-0.246696359,0.193420352,0.103672441,-0.078054052,0.001015644,-0.036247637,0.087926278,0.114604404,-0.237326996
1874,0.215139611,0.03868047,-0.16057577,0.152467933,-0.014055111,0.054924904,0.318567363,-0.372332463,-0.419848385,0.147516504,0.054305881,-0.053795559,0.264491652,0.052009241,0.099919748,-0.014911956,-0.149038037,-0.046134022,-0.097748196,-0.129927796
1875,0.171872311,0.03389947,-0.15041017,-0.064801167,-0.069198511,-0.149750996,0.169241063,-0.285037363,-0.357339385,0.145701104,0.188384781,-0.085641859,0.039125852,0.313785241,0.068122448,0.069178144,-0.222826337,0.158717778,-0.139712296,0.097847304
1876,0.125566411,0.15486827,-0.15175897,0.085128933,-0.159012011,-0.104653496,0.380317263,-0.332312663,-0.430223985,0.043527504,0.252427181,-0.343474559,0.085364852,0.469552541,-0.045100652,0.033233344,-0.203938337,0.210246078,-0.017393696,0.032767104
1877,0.227930411,0.13807747,-0.08884557,0.267024533,-0.154647211,0.007088004,0.322357763,-0.369212363,-0.346552185,0.063064204,0.202364281,-0.238892559,-0.025349448,0.247451841,-0.046805452,-0.085490956,-0.129672737,0.258403578,-0.266840796,0.101239604
1878,0.172992111,0.21537547,-0.00542007,0.024352033,-0.065627311,-0.019106596,0.407050463,-0.361931363,-0.374556385,0.067431104,0.199730181,-0.133670959,0.029200452,0.058935541,-0.123412152,-0.015920056,-0.077511037,0.059293578,-0.048544196,0.112911404
1879,0.129888511,0.28441077,0.06691313,0.187161533,-0.109135911,-0.157613596,0.291485963,-0.367036263,-0.316235385,0.235095404,0.209991181,-0.114166059,0.096298152,0.048750541,-0.197210552,-0.002590056,0.013956963,-0.034575122,0.013295604,-0.001284396
1880,0.080368111,0.16183577,-0.06032237,0.237059833,-0.184661011,-0.315582896,0.410089663,-0.442248363,-0.269098285,0.080760504,0.288436781,-0.030634859,0.084729252,0.046040241,-0.090105352,-0.049827956,-0.077231637,-0.026695922,-0.028777096,0.079169604
1881,0.128526911,0.14662597,-0.15700287,0.132100233,-0.078489911,-0.213923296,0.505471263,-0.474255863,-0.382678985,0.040636204,0.195983281,-0.017966459,0.047121452,0.076972741,-0.012552052,0.051468944,-0.125800037,0.127264178,-0.186179796,0.130096804
1882,0.175975811,0.19379387,-0.17427047,0.185429033,-0.100860311,-0.106635796,0.362994263,-0.351156463,-0.336194385,-0.043745596,0.135822981,-0.015126559,0.098263352,0.218653041,-0.051324252,-0.112026056,-0.145209937,0.000606578,-0.056642796,0.178594004
